world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
-0.534732878,-104.4386673,-91.06045532,18.15758526,0.00076823,0.002424128,-1.305591822,-0.003189098,1,0,0
-0.727124929,-105.3167267,-91.11840057,18.29725031,0.00163669,0.00512511,-1.300254345,-0.003189098,1,0,0
-0.925905645,-106.1182404,-91.17886353,18.44140811,0.001434614,0.004457216,-1.326632619,-0.003659074,1,0,0
-1.183997035,-107.0436707,-91.24969482,18.58997755,-0.005848826,-0.018026544,-1.604686141,-0.00634469,1,0,0
-1.433176398,-107.8476257,-91.33556366,18.7286803,-0.015204235,-0.046513598,-2.079960108,-0.007989672,1,0,0
-1.747591853,-108.7555313,-91.40496826,18.82257709,-0.017154553,-0.052218312,-2.351823807,-0.007989672,1,0,0
-2.101210356,-109.6640091,-91.44498444,18.92251833,-0.030137825,-0.0912547,-2.475974083,-0.007989672,1,0,0
-2.447755575,-110.4622803,-91.48690796,18.92253531,-0.016292145,-0.049331177,-2.587509871,-0.007989672,1,0,0
-2.882791996,-111.3581696,-91.57003021,19.01679931,-0.01355154,-0.040829475,-2.758147955,-0.007888958,1,0,0
-3.264518261,-112.0621033,-91.70785522,19.16311653,-0.007231743,-0.021622178,-2.94862628,-0.007620387,1,0,0
-3.798197031,-112.9468689,-91.84502411,19.30525494,0.003424674,0.010164038,-2.941007614,-0.006311119,1,0,0
-4.262176514,-113.6395264,-91.97844696,19.44527549,0.011754341,0.034634327,-2.895038605,-0.006311119,1,0,0
-4.746965408,-114.2979965,-92.10863495,19.58309847,0.017354851,0.050776413,-2.862278938,-0.006311119,1,0,0
-5.351793766,-115.0380325,-92.23797607,19.7208445,0.021306718,0.06190326,-2.839565039,-0.006311119,1,0,0
-5.997794151,-115.7426376,-92.36779022,19.85965171,0.024224124,0.069887398,-2.82476449,-0.006311119,1,0,0
-6.573590756,-116.3058548,-92.49251556,19.97503628,0.026413991,0.075765037,-2.819089651,-0.006277548,1,0,0
-7.236400604,-116.8913422,-92.5335083,20.01901476,0.027181118,0.077794159,-2.813163996,-0.006210407,1,0,0
-7.954503059,-117.4576569,-92.61895752,20.10812094,0.02976276,0.084805503,-2.766563654,-0.005572567,1,0,0
-8.75366497,-118.0133667,-92.7073822,20.19103135,0.004384487,0.01244179,-1.912935257,-0.004162622,1,0,0
-9.47113514,-118.4521484,-92.81249237,20.33327203,-0.00876826,-0.024707498,-1.520778179,0.000369263,1,0,0
-10.27624893,-118.8838348,-92.86619568,20.45443548,0.027361573,0.076643608,-0.995866716,0.005505427,1,0,0
-11.06726265,-119.2516174,-92.87680054,20.57584933,0.070350635,0.195898538,0.055357613,0.008526818,1,0,0
-11.83562088,-119.5600662,-92.83951569,20.69211067,0.092541217,0.256241907,1.061422706,0.008728249,1,0,0
-12.67971134,-119.8484039,-92.7628479,20.80730223,0.09578828,0.263764396,1.874584794,0.008728249,1,0,0
-13.49770069,-120.0836105,-92.65502167,20.9219451,0.086925405,0.238048148,2.511296988,0.008728249,1,0,0
-14.44454575,-120.3142853,-92.61462402,20.95902126,0.082293394,0.224964703,2.683099031,0.008728249,1,0,0
-15.5122261,-120.5412369,-92.52779388,21.03247177,0.071546911,0.194904354,2.981181383,0.008728249,1,0,0
-16.47110558,-120.7305908,-92.38239288,21.14324884,0.053170184,0.144084799,3.341718197,0.008728249,1,0,0
-17.25991631,-120.8803329,-92.21575165,21.25890614,0.032858273,0.088557657,3.622523308,0.008728249,1,0,0
